City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
185,ormoz,46.4114,16.1544,9.68,71,100,2.0,SI,1683610439
186,vilyuchinsk,52.9306,158.4028,3.15,92,100,9.38,RU,1683610439
187,gbarnga,6.9956,-9.4722,22.02,97,100,1.0,LR,1683610439
188,afaahiti,-17.75,-149.2833,24.93,74,53,0.9,PF,1683610440
189,lorengau,-2.0226,147.2712,28.92,75,91,0.5,PG,1683610440
190,dudinka,69.4058,86.1778,-9.1,90,100,7.88,RU,1683610440
191,boca suno,-0.7167,-77.1333,21.36,99,89,0.68,EC,1683610440
192,baykalovo,57.3981,63.7684,7.25,32,1,3.71,RU,1683610441
193,ambon,-3.6954,128.1814,32.08,90,40,3.6,ID,1683610441
194,fort mcmurray,56.7268,-111.381,13.77,71,100,1.54,CA,1683610350
195,haciqabul,40.0408,48.9445,20.86,55,37,2.2,AZ,1683610441
196,port saint john's,-31.6229,29.5448,18.05,78,23,1.67,ZA,1683610442
197,utrik,11.2278,169.8474,26.48,86,100,7.35,MH,1683610442
198,oamaru,-45.0784,170.9801,14.65,83,100,4.07,NZ,1683610442
199,yellowknife,62.456,-114.3525,6.98,81,40,2.06,CA,1683610443
200,gillette,44.2911,-105.5022,11.08,61,0,0.0,US,1683610207
201,jolo,6.05,121.0167,30.33,69,98,3.74,PH,1683610443
202,strezhevoy,60.7333,77.5889,3.19,38,38,7.37,RU,1683610443
203,bardai,11.65,7.2333,26.23,40,21,1.59,NG,1683610444
204,kedrovyy,56.1667,91.8167,22.23,33,28,3.74,RU,1683610444
205,figuig (centre),32.1089,-1.2286,19.78,36,2,2.0,MA,1683610445
206,antigonish,45.6169,-61.9986,3.23,90,93,2.24,CA,1683610281
207,xam nua,20.4197,104.0439,25.3,85,92,0.9,LA,1683610445
208,tauranga,-37.6861,176.1667,19.8,97,100,2.24,NZ,1683610446
209,rio grande,-32.035,-52.0986,14.5,78,0,4.99,BR,1683610446
210,mizan teferi,6.9833,35.5833,20.38,77,41,1.19,ET,1683610446
211,nemuro,43.3236,145.575,7.54,81,6,9.69,JP,1683610446
212,weno,7.4515,151.8468,27.97,89,100,2.06,FM,1683610447
213,eyl,7.9803,49.8164,28.66,67,71,7.41,SO,1683610447
214,ar raqqah,35.95,39.0167,21.77,48,3,3.86,SY,1683610447
215,mhangura,-16.8939,30.1683,16.7,58,0,2.89,ZW,1683610448
216,goundi,9.3627,17.366,29.25,49,99,3.32,TD,1683610448
217,qui nhon,13.7667,109.2333,29.51,75,100,1.69,VN,1683610449
218,okhotsk,59.3833,143.3,4.82,71,23,3.92,RU,1683610449
219,new norfolk,-42.7826,147.0587,13.84,61,97,0.45,AU,1683610449
220,vadso,70.0744,29.7487,3.09,75,75,2.57,NO,1683610450
221,pariaman,-0.619,100.12,31.03,67,55,3.69,ID,1683610451
222,hithadhoo,-0.6,73.0833,28.4,71,69,5.86,MV,1683610451
223,yarmouth,41.7057,-70.2286,12.26,59,0,2.06,US,1683610451
224,mugia,43.1041,-9.2179,17.31,93,100,4.06,ES,1683610452
225,suomussalmi,64.8869,28.9078,3.8,94,100,2.33,FI,1683610452
226,qulsary,46.9531,54.0198,27.41,22,81,7.27,KZ,1683610452
227,polyarnyy,69.1989,33.4478,0.91,100,100,1.75,RU,1683610452
228,hobyo,5.3505,48.5268,31.08,50,31,8.91,SO,1683610453
229,alvaraes,-3.2208,-64.8042,23.61,98,100,0.81,BR,1683610453
230,beira,-19.8436,34.8389,21.05,100,40,2.57,MZ,1683610453
231,tadine,-21.55,167.8833,24.1,76,98,5.68,NC,1683610454
232,al khafji,28.4391,48.4913,31.93,39,100,3.35,SA,1683610454
233,luena,-11.7833,19.9167,15.4,60,2,1.44,AO,1683610454
234,mount isa,-20.7333,139.5,22.87,12,0,5.14,AU,1683610101
235,lebu,-37.6167,-73.65,11.85,78,100,9.27,CL,1683610455
